Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
2,1.7919999999999998,2,460,20,r207n17.gzip,"[256, 142]",79,0.9,0.14,0.87,0.17,0.24,0.43,"[[2026  236]
 [   6   39]]",0.9,0.07,0.88,0.08,0.13,0.26,"[[10293  1146]
 [   12    84]]",0.99,0.57,0.47,0.54,0.52,0.49,"[[2258   13]
 [  19   17]]",0.99,0.39,0.5,0.41,0.44,0.47,"[[11407    56]
 [   36    36]]"
2,1.7919999999999998,8,460,20,r207n17.gzip,"[256, 142]",79,0.98,0.0,0.0,,,,"[[2272    1]
 [  34    0]]",0.99,0.18,0.03,0.1,0.06,0.04,"[[11466     9]
 [   58     2]]",0.96,0.27,0.79,0.32,0.41,0.57,"[[2174   90]
 [   9   34]]",0.96,0.13,0.79,0.16,0.22,0.39,"[[11032   423]
 [   17    63]]"
2,1.7919999999999998,2,460,20,r207n11.gzip,"[256, 142]",79,0.98,0.42,0.79,0.46,0.55,0.67,"[[2239   36]
 [   7   26]]",0.98,0.24,0.88,0.28,0.37,0.57,"[[11262   202]
 [    9    63]]",0.99,0.63,0.7,0.65,0.67,0.69,"[[2270   11]
 [   8   19]]",0.99,0.48,0.8,0.53,0.6,0.71,"[[11434    47]
 [   11    44]]"
2,1.7919999999999998,8,460,20,r207n11.gzip,"[256, 142]",79,0.99,0.77,0.79,0.77,0.78,0.79,"[[2272    7]
 [   6   23]]",1.0,0.61,0.66,0.62,0.63,0.65,"[[11445    27]
 [   22    42]]",1.0,1.0,0.79,0.95,0.88,0.82,"[[2275    0]
 [   7   26]]",1.0,0.87,0.66,0.82,0.75,0.69,"[[11461     7]
 [   23    45]]"
2,1.7919999999999998,2,460,20,r205n13.gzip,"[256, 142]",79,0.94,0.8,0.99,0.83,0.89,0.95,"[[1061   84]
 [   2  337]]",0.93,0.57,0.99,0.62,0.72,0.86,"[[6236  503]
 [   7  671]]",0.94,0.8,0.99,0.83,0.89,0.95,"[[1064   82]
 [   3  335]]",0.93,0.58,0.99,0.63,0.73,0.87,"[[6262  479]
 [   8  668]]"
2,1.7919999999999998,8,460,20,r205n13.gzip,"[256, 142]",79,0.94,0.8,1.0,0.83,0.89,0.95,"[[1057   85]
 [   1  341]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6202  536]
 [   7  672]]",0.95,0.82,1.0,0.85,0.9,0.95,"[[1065   77]
 [   1  341]]",0.93,0.58,0.99,0.63,0.73,0.87,"[[6251  487]
 [   7  672]]"
2,1.7919999999999998,2,460,20,r210n04.gzip,"[256, 142]",79,0.87,0.18,0.69,0.21,0.28,0.43,"[[2309  311]
 [  30   66]]",0.88,0.08,0.68,0.09,0.14,0.26,"[[11760  1619]
 [   63   134]]",0.93,0.29,0.72,0.33,0.42,0.56,"[[2445  172]
 [  28   71]]",0.93,0.13,0.7,0.15,0.22,0.37,"[[12433   944]
 [   60   139]]"
2,1.7919999999999998,8,460,20,r210n04.gzip,"[256, 142]",79,0.97,0.5,0.01,0.06,0.02,0.02,"[[2633    1]
 [  81    1]]",0.99,0.2,0.01,0.05,0.02,0.02,"[[13409     8]
 [  157     2]]",0.97,0.85,0.25,0.57,0.38,0.29,"[[2619    4]
 [  70   23]]",0.99,0.66,0.23,0.48,0.34,0.26,"[[13380    21]
 [  135    40]]"
2,1.7919999999999998,2,460,20,r211n05.gzip,"[256, 142]",79,0.98,,0.0,,,,"[[2137    0]
 [  35    0]]",0.99,1.0,0.01,0.07,0.03,0.02,"[[10785     0]
 [   70     1]]",0.98,,0.0,,,,"[[2137    0]
 [  35    0]]",0.99,0.5,0.01,0.06,0.03,0.02,"[[10784     1]
 [   70     1]]"
2,1.7919999999999998,8,460,20,r211n05.gzip,"[256, 142]",79,0.98,0.5,0.03,0.12,0.05,0.04,"[[2136    1]
 [  34    1]]",0.99,0.33,0.03,0.11,0.05,0.03,"[[10781     4]
 [   69     2]]",0.98,0.53,0.22,0.41,0.31,0.25,"[[2128    7]
 [  29    8]]",0.99,0.28,0.12,0.22,0.17,0.14,"[[10760    23]
 [   64     9]]"
2,1.7919999999999998,2,460,20,r206n17.gzip,"[256, 142]",79,0.91,0.21,0.77,0.24,0.32,0.5,"[[2073  197]
 [  15   51]]",0.9,0.09,0.82,0.11,0.16,0.31,"[[10415  1126]
 [   24   112]]",0.94,0.26,0.78,0.3,0.39,0.56,"[[2136  137]
 [  14   49]]",0.93,0.12,0.8,0.15,0.21,0.38,"[[10791   755]
 [   26   105]]"
2,1.7919999999999998,8,460,20,r206n17.gzip,"[256, 142]",79,0.86,0.15,0.83,0.18,0.25,0.43,"[[1954  316]
 [  11   55]]",0.86,0.07,0.83,0.08,0.13,0.26,"[[9980 1560]
 [  23  114]]",0.92,0.22,0.78,0.26,0.35,0.52,"[[2103  170]
 [  14   49]]",0.92,0.11,0.79,0.13,0.19,0.34,"[[10662   884]
 [   27   104]]"
2,1.7919999999999998,2,460,20,r208n09.gzip,"[256, 142]",79,0.98,0.34,0.66,0.38,0.45,0.56,"[[2100   40]
 [  11   21]]",0.98,0.2,0.64,0.24,0.31,0.45,"[[10635   161]
 [   23    41]]",0.99,0.9,0.62,0.83,0.73,0.66,"[[2141    2]
 [  11   18]]",1.0,0.71,0.57,0.68,0.63,0.59,"[[10791    13]
 [   24    32]]"
2,1.7919999999999998,8,460,20,r208n09.gzip,"[256, 142]",79,0.97,0.22,0.55,0.25,0.32,0.42,"[[2082   59]
 [  14   17]]",0.97,0.11,0.58,0.13,0.18,0.31,"[[10526   277]
 [   24    33]]",0.99,0.94,0.57,0.83,0.71,0.62,"[[2141    1]
 [  13   17]]",1.0,0.57,0.56,0.56,0.56,0.56,"[[10783    23]
 [   24    30]]"
2,1.7919999999999998,2,460,20,r211n08.gzip,"[256, 142]",79,0.86,0.36,0.94,0.41,0.52,0.71,"[[1869  311]
 [  12  174]]",0.86,0.18,0.94,0.21,0.3,0.5,"[[9783 1668]
 [  22  354]]",0.92,0.48,0.93,0.53,0.64,0.79,"[[2006  180]
 [  12  168]]",0.91,0.26,0.93,0.3,0.4,0.61,"[[10468   993]
 [   24   342]]"
2,1.7919999999999998,8,460,20,r211n08.gzip,"[256, 142]",79,0.8,0.27,0.91,0.31,0.41,0.62,"[[1715  465]
 [  16  170]]",0.79,0.13,0.95,0.16,0.23,0.42,"[[8994 2452]
 [  20  361]]",0.89,0.41,0.9,0.46,0.56,0.73,"[[1952  236]
 [  17  161]]",0.89,0.21,0.93,0.25,0.35,0.55,"[[10199  1262]
 [   26   340]]"
2,1.7919999999999998,2,460,20,r208n10.gzip,"[256, 142]",79,0.99,0.0,0.0,,,,"[[1961    2]
 [  13    0]]",1.0,0.18,0.06,0.13,0.09,0.07,"[[9833    9]
 [  32    2]]",0.95,0.12,0.62,0.14,0.2,0.33,"[[1857   98]
 [   8   13]]",0.95,0.07,0.72,0.08,0.12,0.24,"[[9318  508]
 [  14   36]]"
2,1.7919999999999998,8,460,20,r208n10.gzip,"[256, 142]",79,0.99,0.5,0.05,0.19,0.1,0.06,"[[1956    1]
 [  18    1]]",1.0,0.4,0.06,0.19,0.1,0.07,"[[9839    3]
 [  32    2]]",0.99,0.33,0.11,0.23,0.16,0.12,"[[1953    4]
 [  17    2]]",1.0,0.4,0.16,0.31,0.23,0.18,"[[9830    9]
 [  31    6]]"
2,1.7919999999999998,2,460,20,r212n07.gzip,"[256, 142]",79,0.91,0.11,0.75,0.13,0.19,0.34,"[[1942  197]
 [   8   24]]",0.91,0.06,0.84,0.07,0.1,0.22,"[[9869  920]
 [  10   54]]",0.98,0.28,0.52,0.31,0.36,0.44,"[[2117   31]
 [  11   12]]",0.98,0.15,0.63,0.17,0.24,0.38,"[[10616   186]
 [   19    32]]"
2,1.7919999999999998,8,460,20,r212n07.gzip,"[256, 142]",79,0.95,0.14,0.61,0.16,0.22,0.36,"[[2035  108]
 [  11   17]]",0.95,0.07,0.66,0.09,0.13,0.25,"[[10246   543]
 [   22    42]]",0.98,0.28,0.42,0.3,0.33,0.38,"[[2121   26]
 [  14   10]]",0.99,0.18,0.42,0.21,0.25,0.33,"[[10695   103]
 [   32    23]]"
2,1.7919999999999998,2,460,20,r207n02.gzip,"[256, 142]",79,0.94,0.41,0.92,0.46,0.57,0.74,"[[2426  151]
 [   9  105]]",0.94,0.2,0.92,0.24,0.33,0.54,"[[12388   838]
 [   17   209]]",0.96,0.52,0.91,0.57,0.66,0.79,"[[2498   89]
 [   9   95]]",0.96,0.27,0.92,0.31,0.41,0.62,"[[12720   524]
 [   17   191]]"
2,1.7919999999999998,8,460,20,r207n02.gzip,"[256, 142]",79,0.94,0.4,0.92,0.45,0.56,0.73,"[[2439  145]
 [   9   98]]",0.94,0.21,0.91,0.25,0.34,0.55,"[[12482   750]
 [   20   200]]",0.97,0.55,0.91,0.6,0.69,0.8,"[[2525   70]
 [   9   87]]",0.97,0.36,0.9,0.4,0.51,0.69,"[[12929   325]
 [   19   179]]"
2,1.7919999999999998,2,460,20,r211n01.gzip,"[256, 142]",79,0.98,0.17,0.02,0.08,0.04,0.03,"[[2131    5]
 [  39    1]]",0.99,0.08,0.03,0.06,0.04,0.03,"[[10783    24]
 [   71     2]]",0.99,0.81,0.32,0.62,0.46,0.37,"[[2133    3]
 [  27   13]]",0.99,0.67,0.28,0.52,0.39,0.31,"[[10798    10]
 [   52    20]]"
2,1.7919999999999998,8,460,20,r211n01.gzip,"[256, 142]",79,0.98,0.43,0.53,0.45,0.48,0.51,"[[2112   26]
 [  18   20]]",0.99,0.22,0.4,0.24,0.28,0.34,"[[10687   113]
 [   48    32]]",0.99,0.92,0.38,0.71,0.53,0.43,"[[2143    1]
 [  20   12]]",0.99,0.51,0.32,0.46,0.4,0.35,"[[10783    23]
 [   50    24]]"
2,1.7919999999999998,2,460,20,r206n03.gzip,"[256, 142]",79,0.74,0.4,0.99,0.45,0.57,0.77,"[[1341  606]
 [   3  403]]",0.71,0.19,0.99,0.23,0.32,0.54,"[[7564 3393]
 [   8  800]]",0.88,0.58,0.99,0.63,0.73,0.87,"[[1667  286]
 [   4  396]]",0.86,0.32,0.99,0.37,0.49,0.7,"[[9336 1635]
 [  10  784]]"
2,1.7919999999999998,8,460,20,r206n03.gzip,"[256, 142]",79,0.66,0.34,0.99,0.39,0.5,0.72,"[[1161  787]
 [   3  402]]",0.61,0.15,0.99,0.18,0.26,0.47,"[[6413 4542]
 [   7  803]]",0.79,0.45,0.99,0.51,0.62,0.8,"[[1471  480]
 [   3  399]]",0.77,0.23,0.99,0.27,0.37,0.59,"[[8244 2719]
 [   8  794]]"
2,1.7919999999999998,2,460,20,r210n01.gzip,"[256, 142]",79,0.64,0.64,1.0,0.69,0.78,0.9,"[[   0  726]
 [   0 1293]]",0.21,0.21,1.0,0.25,0.34,0.57,"[[   0 7992]
 [   0 2100]]",0.64,0.64,1.0,0.69,0.78,0.9,"[[   0  726]
 [   0 1293]]",0.21,0.21,1.0,0.25,0.34,0.57,"[[   0 7992]
 [   0 2100]]"
