Node Name,Seed,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Accuracy,All Precision,All Recall,All F0.5-Score,All F1-Score,All F2-Score,All Conf. Matrix
r207n17.gzip,2,0.99,0.46,0.64,0.49,0.54,0.6,"[[2258   21]
 [  10   18]]",0.99,0.36,0.83,0.4,0.5,0.66,"[[11373    97]
 [   11    54]]"
r207n17.gzip,8,0.99,0.54,0.76,0.58,0.63,0.71,"[[2251   22]
 [   8   26]]",0.99,0.45,0.85,0.5,0.59,0.72,"[[11403    67]
 [   10    55]]"
r207n11.gzip,2,0.99,0.47,0.69,0.51,0.56,0.63,"[[2262   20]
 [   8   18]]",0.99,0.47,0.82,0.52,0.6,0.72,"[[11427    52]
 [   10    47]]"
r207n11.gzip,8,0.99,0.47,0.85,0.51,0.6,0.73,"[[2257   25]
 [   4   22]]",0.99,0.29,0.94,0.34,0.44,0.65,"[[11333   141]
 [    4    58]]"
r205n13.gzip,2,0.98,0.94,0.98,0.95,0.96,0.98,"[[1131   21]
 [   5  327]]",0.98,0.85,0.98,0.88,0.92,0.96,"[[6642  111]
 [  10  654]]"
r205n13.gzip,8,0.99,0.97,0.98,0.97,0.98,0.98,"[[1143    9]
 [   6  326]]",0.99,0.96,0.98,0.96,0.97,0.98,"[[6721   28]
 [  12  656]]"
r210n04.gzip,2,0.99,0.76,0.95,0.79,0.84,0.9,"[[2613   24]
 [   4   75]]",0.99,0.55,0.98,0.6,0.7,0.84,"[[13278   133]
 [    4   161]]"
r210n04.gzip,8,0.98,0.66,0.94,0.7,0.77,0.87,"[[2594   40]
 [   5   77]]",0.99,0.51,0.97,0.56,0.67,0.82,"[[13253   157]
 [    5   161]]"
r211n05.gzip,2,0.98,0.3,0.34,0.31,0.32,0.33,"[[2109   28]
 [  23   12]]",0.99,0.3,0.67,0.34,0.41,0.53,"[[10648   127]
 [   27    54]]"
r211n05.gzip,8,0.98,0.33,0.41,0.34,0.36,0.39,"[[2109   29]
 [  20   14]]",0.99,0.33,0.73,0.37,0.45,0.59,"[[10642   128]
 [   23    63]]"
r206n17.gzip,2,0.99,0.63,0.78,0.66,0.7,0.75,"[[2262   23]
 [  11   40]]",0.99,0.61,0.88,0.65,0.72,0.81,"[[11501    63]
 [   13   100]]"
r206n17.gzip,8,0.98,0.53,0.75,0.56,0.62,0.69,"[[2247   36]
 [  13   40]]",0.98,0.34,0.88,0.39,0.49,0.67,"[[11377   189]
 [   13    98]]"
r208n09.gzip,2,0.99,0.4,0.71,0.44,0.52,0.62,"[[2123   25]
 [   7   17]]",0.99,0.38,0.87,0.43,0.53,0.7,"[[10728    77]
 [    7    48]]"
r208n09.gzip,8,0.99,0.54,0.81,0.58,0.65,0.73,"[[2128   18]
 [   5   21]]",0.99,0.45,0.91,0.5,0.6,0.76,"[[10742    62]
 [    5    51]]"
r211n08.gzip,2,0.98,0.81,0.93,0.83,0.87,0.91,"[[2159   38]
 [  11  158]]",0.98,0.61,0.97,0.66,0.75,0.87,"[[11256   218]
 [   12   341]]"
r211n08.gzip,8,0.94,0.54,0.96,0.59,0.69,0.83,"[[2068  135]
 [   7  156]]",0.95,0.38,0.98,0.44,0.55,0.75,"[[10848   598]
 [    7   374]]"
r208n10.gzip,2,0.98,0.28,1.0,0.33,0.44,0.66,"[[1930   33]
 [   0   13]]",0.99,0.22,0.97,0.26,0.36,0.57,"[[9705  133]
 [   1   37]]"
r208n10.gzip,8,0.99,0.48,0.83,0.53,0.61,0.73,"[[1942   16]
 [   3   15]]",0.99,0.35,0.92,0.4,0.5,0.69,"[[9772   66]
 [   3   35]]"
r212n07.gzip,2,0.97,0.19,0.59,0.22,0.29,0.42,"[[2094   55]
 [   9   13]]",0.98,0.2,0.83,0.24,0.33,0.51,"[[10572   215]
 [   11    55]]"
r212n07.gzip,8,0.98,0.35,0.82,0.39,0.49,0.64,"[[2115   34]
 [   4   18]]",0.99,0.33,0.93,0.38,0.49,0.69,"[[10678   114]
 [    4    57]]"
r207n02.gzip,2,0.99,0.76,0.89,0.78,0.82,0.86,"[[2574   26]
 [  10   81]]",0.99,0.57,0.94,0.62,0.71,0.83,"[[13104   144]
 [   13   191]]"
r207n02.gzip,8,0.98,0.61,0.89,0.65,0.72,0.81,"[[2548   52]
 [  10   81]]",0.98,0.44,0.94,0.5,0.6,0.77,"[[13031   228]
 [   11   182]]"
r211n01.gzip,2,0.98,0.43,0.38,0.42,0.4,0.38,"[[2116   20]
 [  25   15]]",0.99,0.39,0.6,0.42,0.47,0.54,"[[10708    84]
 [   35    53]]"
r211n01.gzip,8,0.96,0.21,0.58,0.24,0.31,0.43,"[[2077   68]
 [  13   18]]",0.98,0.35,0.87,0.4,0.5,0.68,"[[10595   175]
 [   14    96]]"
r208n14.gzip,2,0.98,0.57,0.9,0.62,0.7,0.81,"[[1628   27]
 [   4   36]]",0.99,0.5,0.96,0.56,0.66,0.81,"[[8283   93]
 [   4   94]]"
r208n14.gzip,8,0.97,0.45,0.95,0.51,0.61,0.78,"[[1609   46]
 [   2   38]]",0.98,0.36,0.98,0.41,0.52,0.73,"[[8182  187]
 [   2  103]]"
r206n18.gzip,2,0.95,0.28,0.9,0.32,0.42,0.62,"[[2175  115]
 [   5   44]]",0.96,0.2,0.96,0.24,0.34,0.55,"[[11073   491]
 [    5   125]]"
r206n18.gzip,8,0.99,0.7,0.94,0.74,0.8,0.88,"[[2273   19]
 [   3   44]]",0.99,0.5,0.97,0.56,0.66,0.82,"[[11480   105]
 [    3   106]]"
