Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.232,42,460,379,r207n17.gzip,[373],303,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.33,0.03,0.12,0.06,0.04,"[[11471     4]
 [   58     2]]",0.99,1.0,0.06,0.24,0.11,0.07,"[[2273    0]
 [  32    2]]",0.99,0.38,0.05,0.16,0.09,0.06,"[[11469     5]
 [   58     3]]"
9,1.047,42,460,290,r207n17.gzip,"[439, 419, 400, 382, 364, 347, 331, 316, 301]",290,0.68,0.07,0.82,0.08,0.12,0.25,"[[1530  716]
 [  11   50]]",0.69,0.03,0.85,0.03,0.05,0.12,"[[7815 3597]
 [  19  104]]",0.7,0.07,0.82,0.08,0.12,0.25,"[[1556  690]
 [  11   50]]",0.7,0.03,0.84,0.04,0.06,0.13,"[[7943 3470]
 [  19  103]]"
1,2.792,42,460,78,r207n17.gzip,[164],59,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.25,0.03,0.11,0.06,0.04,"[[11469     6]
 [   58     2]]",0.98,0.0,0.0,,,,"[[2270    4]
 [  33    0]]",0.99,0.06,0.02,0.04,0.03,0.02,"[[11460    16]
 [   58     1]]"
5,1.047,42,460,374,r207n17.gzip,"[439, 419, 400, 382, 364]",349,0.99,0.0,0.0,,,,"[[2273    1]
 [  33    0]]",0.99,0.25,0.02,0.07,0.03,0.02,"[[11472     3]
 [   59     1]]",0.79,0.07,0.64,0.09,0.13,0.24,"[[1790  462]
 [  20   35]]",0.8,0.03,0.64,0.03,0.05,0.12,"[[9173 2263]
 [  36   63]]"
1,1.42,42,460,316,r207n17.gzip,[323],228,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.98,0.33,0.03,0.11,0.05,0.04,"[[2271    2]
 [  33    1]]",0.99,0.19,0.05,0.12,0.08,0.06,"[[11461    13]
 [   58     3]]"
7,1.052,42,460,324,r207n17.gzip,"[437, 415, 394, 374, 355, 337, 320]",307,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]",0.67,0.05,0.78,0.07,0.1,0.21,"[[1507  746]
 [  12   42]]",0.68,0.02,0.77,0.03,0.04,0.1,"[[7795 3631]
 [  25   84]]"
2,1.156,42,460,197,r207n17.gzip,"[397, 343]",298,0.88,0.13,0.82,0.16,0.23,0.4,"[[1980  276]
 [   9   42]]",0.87,0.06,0.85,0.07,0.11,0.22,"[[9974 1459]
 [  15   87]]",0.98,0.35,0.5,0.37,0.41,0.46,"[[2230   37]
 [  20   20]]",0.98,0.16,0.55,0.19,0.25,0.37,"[[11242   216]
 [   35    42]]"
8,1.037,42,460,45,r207n17.gzip,"[443, 427, 411, 396, 381, 367, 353, 340]",332,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11442    33]
 [   59     1]]",0.95,0.21,0.6,0.24,0.31,0.44,"[[2178   89]
 [  16   24]]",0.95,0.09,0.64,0.11,0.16,0.29,"[[10966   492]
 [   28    49]]"
6,1.0270000000000001,42,460,395,r207n17.gzip,"[447, 435, 423, 411, 400, 389]",382,0.45,0.05,0.98,0.06,0.09,0.2,"[[ 973 1271]
 [   1   62]]",0.45,0.02,0.98,0.02,0.04,0.09,"[[5035 6379]
 [   2  119]]",0.45,0.05,0.98,0.06,0.09,0.2,"[[ 970 1274]
 [   1   62]]",0.45,0.02,0.98,0.02,0.04,0.09,"[[5020 6394]
 [   2  119]]"
5,1.111,42,460,403,r207n17.gzip,"[414, 372, 334, 300, 270]",244,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11439    36]
 [   59     1]]",0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11439    36]
 [   59     1]]"
